lap_num,s1_time,incident,related_b_hits,related_t_hits,brake_throttle_deltas
1,28719,track limit violation,['../Data/image-data/session-1/brake/Lap_1_track_limit_violating_brake.png'],['../Data/image-data/session-1/throttle/Lap_1_track_limit_violating_throttle_hit.png'],[]
2,51823,crash,['../Data/image-data/session-1/brake/Lap_2_crash_causing_brake.png'],['../Data/image-data/session-1/throttle/Lap_2_crash_causing_throttle_hit.png'],[]
3,28935,none,"['../Data/image-data/session-1/brake/Lap_3_Brake hit_1.png', '../Data/image-data/session-1/brake/Lap_3_Brake hit_2.png']","['../Data/image-data/session-1/throttle/Lap_3_Throttle hit_1.png', '../Data/image-data/session-1/throttle/Lap_3_Throttle hit_2.png']",[]
4,29188,none,"['../Data/image-data/session-1/brake/Lap_4_Brake hit_1.png', '../Data/image-data/session-1/brake/Lap_4_Brake hit_2.png']","['../Data/image-data/session-1/throttle/Lap_4_Throttle hit_1.png', '../Data/image-data/session-1/throttle/Lap_4_Throttle hit_2.png']",[]
5,28478,none,"['../Data/image-data/session-1/brake/Lap_5_Brake hit_1.png', '../Data/image-data/session-1/brake/Lap_5_Brake hit_2.png']","['../Data/image-data/session-1/throttle/Lap_5_Throttle hit_1.png', '../Data/image-data/session-1/throttle/Lap_5_Throttle hit_2.png']",[]
6,28420,none,"['../Data/image-data/session-1/brake/Lap_6_Brake hit_1.png', '../Data/image-data/session-1/brake/Lap_6_Brake hit_2.png']","['../Data/image-data/session-1/throttle/Lap_6_Throttle hit_1.png', '../Data/image-data/session-1/throttle/Lap_6_Throttle hit_2.png']",[]
7,28085,track limit violation,['../Data/image-data/session-1/brake/Lap_7_track_limit_violating_brake.png'],['../Data/image-data/session-1/throttle/Lap_7_track_limit_violating_throttle_hit.png'],[]
8,28812,none,"['../Data/image-data/session-1/brake/Lap_8_Brake hit_1.png', '../Data/image-data/session-1/brake/Lap_8_Brake hit_2.png']","['../Data/image-data/session-1/throttle/Lap_8_Throttle hit_1.png', '../Data/image-data/session-1/throttle/Lap_8_Throttle hit_2.png']",[]
9,28980,none,"['../Data/image-data/session-1/brake/Lap_9_Brake hit_1.png', '../Data/image-data/session-1/brake/Lap_9_Brake hit_2.png']","['../Data/image-data/session-1/throttle/Lap_9_Throttle hit_1.png', '../Data/image-data/session-1/throttle/Lap_9_Throttle hit_2.png']",[]
10,28500,none,"['../Data/image-data/session-1/brake/Lap_10_Brake hit_1.png', '../Data/image-data/session-1/brake/Lap_10_Brake hit_2.png']","['../Data/image-data/session-1/throttle/Lap_10_Throttle hit_1.png', '../Data/image-data/session-1/throttle/Lap_10_Throttle hit_2.png']",[]
11,29467,none,"['../Data/image-data/session-2/brake/Lap_1_Brake hit_1.png', '../Data/image-data/session-2/brake/Lap_1_Brake hit_2.png']","['../Data/image-data/session-2/throttle/Lap_1_Throttle hit_1.png', '../Data/image-data/session-2/throttle/Lap_1_Throttle hit_2.png']",[]
12,29346,none,"['../Data/image-data/session-2/brake/Lap_2_Brake hit_1.png', '../Data/image-data/session-2/brake/Lap_2_Brake hit_2.png']","['../Data/image-data/session-2/throttle/Lap_2_Throttle hit_1.png', '../Data/image-data/session-2/throttle/Lap_2_Throttle hit_2.png']",[]
13,43651,crash,['../Data/image-data/session-2/brake/Lap_3_crash_causing_brake.png'],['../Data/image-data/session-2/throttle/Lap_3_crash_causing_throttle_hit.png'],[]
14,35356,track limit violation,['../Data/image-data/session-2/brake/Lap_4_track_limit_violating_brake.png'],['../Data/image-data/session-2/throttle/Lap_4_track_limit_violating_throttle_hit.png'],[]
15,31560,track limit violation,['../Data/image-data/session-2/brake/Lap_5_track_limit_violating_brake.png'],['../Data/image-data/session-2/throttle/Lap_5_track_limit_violating_throttle_hit.png'],[]
16,28395,none,"['../Data/image-data/session-2/brake/Lap_6_Brake hit_1.png', '../Data/image-data/session-2/brake/Lap_6_Brake hit_2.png']","['../Data/image-data/session-2/throttle/Lap_6_Throttle hit_1.png', '../Data/image-data/session-2/throttle/Lap_6_Throttle hit_2.png']",[]
17,33994,track limit violation,['../Data/image-data/session-2/brake/Lap_7_track_limit_violating_brake.png'],['../Data/image-data/session-2/throttle/Lap_7_track_limit_violating_throttle_hit.png'],[]
18,28483,none,"['../Data/image-data/session-2/brake/Lap_8_Brake hit_1.png', '../Data/image-data/session-2/brake/Lap_8_Brake hit_2.png']","['../Data/image-data/session-2/throttle/Lap_8_Throttle hit_1.png', '../Data/image-data/session-2/throttle/Lap_8_Throttle hit_2.png']",[]
19,28828,none,"['../Data/image-data/session-2/brake/Lap_9_Brake hit_1.png', '../Data/image-data/session-2/brake/Lap_9_Brake hit_2.png']","['../Data/image-data/session-2/throttle/Lap_9_Throttle hit_1.png', '../Data/image-data/session-2/throttle/Lap_9_Throttle hit_2.png']",[]
20,38169,track limit violation,['../Data/image-data/session-2/brake/Lap_10_track_limit_violating_brake.png'],['../Data/image-data/session-2/throttle/Lap_10_track_limit_violating_throttle_hit.png'],[]
21,28897,none,"['../Data/image-data/session-2/brake/Lap_11_Brake hit_1.png', '../Data/image-data/session-2/brake/Lap_11_Brake hit_2.png']","['../Data/image-data/session-2/throttle/Lap_11_Throttle hit_1.png', '../Data/image-data/session-2/throttle/Lap_11_Throttle hit_2.png']",[]
22,28857,none,"['../Data/image-data/session-3/brake/Lap_1_Brake hit_1.png', '../Data/image-data/session-3/brake/Lap_1_Brake hit_2.png']","['../Data/image-data/session-3/throttle/Lap_1_Throttle hit_1.png', '../Data/image-data/session-3/throttle/Lap_1_Throttle hit_2.png']",[]
23,28989,track limit violation,['../Data/image-data/session-3/brake/Lap_2_track_limit_violating_brake.png'],['../Data/image-data/session-3/throttle/Lap_2_track_limit_violating_throttle_hit.png'],[]
24,28361,none,"['../Data/image-data/session-3/brake/Lap_3_Brake hit_1.png', '../Data/image-data/session-3/brake/Lap_3_Brake hit_2.png']","['../Data/image-data/session-3/throttle/Lap_3_Throttle hit_1.png', '../Data/image-data/session-3/throttle/Lap_3_Throttle hit_2.png']",[]
25,27975,none,"['../Data/image-data/session-3/brake/Lap_4_Brake hit_1.png', '../Data/image-data/session-3/brake/Lap_4_Brake hit_2.png']","['../Data/image-data/session-3/throttle/Lap_4_Throttle hit_1.png', '../Data/image-data/session-3/throttle/Lap_4_Throttle hit_2.png']",[]
26,28390,none,"['../Data/image-data/session-4/brake/Lap_1_Brake hit_1.png', '../Data/image-data/session-4/brake/Lap_1_Brake hit_2.png']","['../Data/image-data/session-4/throttle/Lap_1_Throttle hit_1.png', '../Data/image-data/session-4/throttle/Lap_1_Throttle hit_2.png']",[]
27,31744,track limit violation,['../Data/image-data/session-4/brake/Lap_2_track_limit_violating_brake.png'],['../Data/image-data/session-4/throttle/Lap_2_track_limit_violating_throttle_hit.png'],[]
28,29430,none,"['../Data/image-data/session-4/brake/Lap_3_Brake hit_1.png', '../Data/image-data/session-4/brake/Lap_3_Brake hit_2.png']","['../Data/image-data/session-4/throttle/Lap_3_Throttle hit_1.png', '../Data/image-data/session-4/throttle/Lap_3_Throttle hit_2.png']",[]
29,28335,none,"['../Data/image-data/session-4/brake/Lap_4_Brake hit_1.png', '../Data/image-data/session-4/brake/Lap_4_Brake hit_2.png']","['../Data/image-data/session-4/throttle/Lap_4_Throttle hit_1.png', '../Data/image-data/session-4/throttle/Lap_4_Throttle hit_2.png']",[]
30,28695,track limit violation,['../Data/image-data/session-4/brake/Lap_5_track_limit_violating_brake.png'],['../Data/image-data/session-4/throttle/Lap_5_track_limit_violating_throttle_hit.png'],[]
31,28241,none,"['../Data/image-data/session-4/brake/Lap_6_Brake hit_1.png', '../Data/image-data/session-4/brake/Lap_6_Brake hit_2.png']","['../Data/image-data/session-4/throttle/Lap_6_Throttle hit_1.png', '../Data/image-data/session-4/throttle/Lap_6_Throttle hit_2.png']",[]
32,29498,none,"['../Data/image-data/session-4/brake/Lap_7_Brake hit_1.png', '../Data/image-data/session-4/brake/Lap_7_Brake hit_2.png']","['../Data/image-data/session-4/throttle/Lap_7_Throttle hit_1.png', '../Data/image-data/session-4/throttle/Lap_7_Throttle hit_2.png']",[]
33,28566,none,"['../Data/image-data/session-4/brake/Lap_8_Brake hit_1.png', '../Data/image-data/session-4/brake/Lap_8_Brake hit_2.png']","['../Data/image-data/session-4/throttle/Lap_8_Throttle hit_1.png', '../Data/image-data/session-4/throttle/Lap_8_Throttle hit_2.png']",[]
34,47537,crash,['../Data/image-data/session-4/brake/Lap_9_crash_causing_brake.png'],['../Data/image-data/session-4/throttle/Lap_9_crash_causing_throttle_hit.png'],[]
35,28426,none,"['../Data/image-data/session-4/brake/Lap_10_Brake hit_1.png', '../Data/image-data/session-4/brake/Lap_10_Brake hit_2.png']","['../Data/image-data/session-4/throttle/Lap_10_Throttle hit_1.png', '../Data/image-data/session-4/throttle/Lap_10_Throttle hit_2.png']",[]
36,28640,none,"['../Data/image-data/session-4/brake/Lap_11_Brake hit_1.png', '../Data/image-data/session-4/brake/Lap_11_Brake hit_2.png']","['../Data/image-data/session-4/throttle/Lap_11_Throttle hit_1.png', '../Data/image-data/session-4/throttle/Lap_11_Throttle hit_2.png']",[]
37,29085,track limit violation,['../Data/image-data/session-5/brake/Lap_1_track_limit_violating_brake.png'],['../Data/image-data/session-5/throttle/Lap_1_track_limit_violating_throttle_hit.png'],[]
38,28297,none,"['../Data/image-data/session-5/brake/Lap_2_Brake hit_1.png', '../Data/image-data/session-5/brake/Lap_2_Brake hit_2.png']","['../Data/image-data/session-5/throttle/Lap_2_Throttle hit_1.png', '../Data/image-data/session-5/throttle/Lap_2_Throttle hit_2.png']",[]
39,29823,none,"['../Data/image-data/session-5/brake/Lap_3_Brake hit_1.png', '../Data/image-data/session-5/brake/Lap_3_Brake hit_2.png', '../Data/image-data/session-5/brake/Lap_3_Brake hit_3.png']","['../Data/image-data/session-5/throttle/Lap_3_Throttle hit_1.png', '../Data/image-data/session-5/throttle/Lap_3_Throttle hit_2.png']",[]
40,41636,track limit violation,['../Data/image-data/session-5/brake/Lap_4_track_limit_violating_brake.png'],['../Data/image-data/session-5/throttle/Lap_4_track_limit_violating_throttle_hit.png'],[]
41,32094,track limit violation,['../Data/image-data/session-5/brake/Lap_5_track_limit_violating_brake.png'],['../Data/image-data/session-5/throttle/Lap_5_track_limit_violating_throttle_hit.png'],[]
42,32007,track limit violation,['../Data/image-data/session-5/brake/Lap_6_track_limit_violating_brake.png'],['../Data/image-data/session-5/throttle/Lap_6_track_limit_violating_throttle_hit.png'],[]
43,28691,none,"['../Data/image-data/session-5/brake/Lap_7_Brake hit_1.png', '../Data/image-data/session-5/brake/Lap_7_Brake hit_2.png']","['../Data/image-data/session-5/throttle/Lap_7_Throttle hit_1.png', '../Data/image-data/session-5/throttle/Lap_7_Throttle hit_2.png']",[]
44,43510,crash,['../Data/image-data/session-5/brake/Lap_8_crash_causing_brake.png'],['../Data/image-data/session-5/throttle/Lap_8_crash_causing_throttle_hit.png'],[]
45,28494,track limit violation,['../Data/image-data/session-5/brake/Lap_9_track_limit_violating_brake.png'],['../Data/image-data/session-5/throttle/Lap_9_track_limit_violating_throttle_hit.png'],[]
46,28901,none,"['../Data/image-data/session-5/brake/Lap_10_Brake hit_1.png', '../Data/image-data/session-5/brake/Lap_10_Brake hit_2.png']","['../Data/image-data/session-5/throttle/Lap_10_Throttle hit_1.png', '../Data/image-data/session-5/throttle/Lap_10_Throttle hit_2.png']",[]
47,29194,none,"['../Data/image-data/session-5/brake/Lap_11_Brake hit_1.png', '../Data/image-data/session-5/brake/Lap_11_Brake hit_2.png']","['../Data/image-data/session-5/throttle/Lap_11_Throttle hit_1.png', '../Data/image-data/session-5/throttle/Lap_11_Throttle hit_2.png']",[]
48,28263,none,"['../Data/image-data/session-6/brake/Lap_1_Brake hit_1.png', '../Data/image-data/session-6/brake/Lap_1_Brake hit_2.png']","['../Data/image-data/session-6/throttle/Lap_1_Throttle hit_1.png', '../Data/image-data/session-6/throttle/Lap_1_Throttle hit_2.png']","[['1.330505132675171', '1', '1'], ['2.5443592071533203', '2', '2']]"
49,28464,track limit violation,['../Data/image-data/session-6/brake/Lap_2_track_limit_violating_brake.png'],['../Data/image-data/session-6/throttle/Lap_2_track_limit_violating_throttle_hit.png'],"[['1.6235651969909668', '1', '1'], ['2.3908438682556152', '2', '2']]"
50,28321,none,"['../Data/image-data/session-6/brake/Lap_3_Brake hit_1.png', '../Data/image-data/session-6/brake/Lap_3_Brake hit_2.png']","['../Data/image-data/session-6/throttle/Lap_3_Throttle hit_1.png', '../Data/image-data/session-6/throttle/Lap_3_Throttle hit_2.png']","[['1.3782010078430176', '1', '1'], ['2.5585391521453857', '2', '2']]"
51,28483,none,"['../Data/image-data/session-6/brake/Lap_4_Brake hit_1.png', '../Data/image-data/session-6/brake/Lap_4_Brake hit_2.png']","['../Data/image-data/session-6/throttle/Lap_4_Throttle hit_1.png', '../Data/image-data/session-6/throttle/Lap_4_Throttle hit_2.png']","[['1.6070523262023926', '1', '1'], ['2.64884090423584', '2', '2']]"
52,39397,crash,['../Data/image-data/session-6/brake/Lap_5_crash_causing_brake.png'],['../Data/image-data/session-6/throttle/Lap_5_crash_causing_throttle_hit.png'],"[['1.5341887474060059', '1', '1']]"
53,28366,none,"['../Data/image-data/session-6/brake/Lap_6_Brake hit_1.png', '../Data/image-data/session-6/brake/Lap_6_Brake hit_2.png']","['../Data/image-data/session-6/throttle/Lap_6_Throttle hit_1.png', '../Data/image-data/session-6/throttle/Lap_6_Throttle hit_2.png']","[['1.4015560150146484', '1', '1'], ['2.5156431198120117', '2', '2']]"
54,37854,crash,['../Data/image-data/session-6/brake/Lap_7_crash_causing_brake.png'],['../Data/image-data/session-6/throttle/Lap_7_crash_causing_throttle_hit.png'],"[['1.2557051181793213', '1', '1']]"
55,28791,none,"['../Data/image-data/session-6/brake/Lap_8_Brake hit_1.png', '../Data/image-data/session-6/brake/Lap_8_Brake hit_2.png']","['../Data/image-data/session-6/throttle/Lap_8_Throttle hit_1.png', '../Data/image-data/session-6/throttle/Lap_8_Throttle hit_2.png']","[['1.4284217357635498', '1', '1'], ['2.1875081062316895', '2', '2']]"
56,34172,crash,['../Data/image-data/session-6/brake/Lap_9_crash_causing_brake.png'],['../Data/image-data/session-6/throttle/Lap_9_crash_causing_throttle_hit.png'],"[['1.3647661209106445', '1', '1']]"
57,28517,track limit violation,['../Data/image-data/session-7/brake/Lap_1_track_limit_violating_brake.png'],['../Data/image-data/session-7/throttle/Lap_1_track_limit_violating_throttle_hit.png'],"[['1.4856407642364502', '1', '1'], ['2.2453784942626953', '2', '2']]"
